step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
80.0,3,9.0,0.4090909090909091,9.046081352574761,0,6.0,0.2596260296157694,3,11.0,0.0006128995781838856,0,2.0,0.7223625955432763,0,4.0,0.8916596288693418,3,23.0
85.0,1,4.0,0.2,10.42937445411673,0,0.0,0.9803471992455942,0,14.0,0.5947058710569081,1,4.0,0.6161182054639036,0,2.0,0.8833272387684431,1,20.0
90.0,1,1.0,0.05,10.163418538498622,0,0.0,0.9120794645556304,0,2.0,0.9212076091885687,0,0.0,0.7029002432915783,1,3.0,0.16406114226697205,1,5.0
95.0,1,2.0,0.1,9.895067820201692,0,0.0,0.8566895765401009,1,4.0,0.5078545736420728,0,0.0,0.9800788339082777,0,6.0,0.5868170588269456,1,10.0
100.0,2,11.0,0.6470588235294118,11.209793681465253,0,0.0,0.95003235993413,2,13.0,0.32528309526036275,0,0.0,0.9480753005183729,0,2.0,0.9492750681136372,2,15.0
105.0,0,0.0,0.0,10.149377676066864,0,0.0,0.7450480153826327,0,7.0,0.4083709279082249,0,0.0,0.9718432440571136,0,0.0,0.9929585827393398,0,7.0
110.0,1,5.0,0.2777777777777778,9.822364233794186,0,0.0,0.6036265305565396,1,5.0,0.7066401081817294,0,0.0,0.9571259256306358,0,0.0,0.4942373416494653,1,5.0
115.0,0,0.0,0.0,11.196016876768299,0,0.0,0.715488266381701,0,0.0,0.8135902571572445,0,1.0,0.934349797684878,0,0.0,0.9520949707041584,0,1.0
120.0,2,2.0,0.13333333333333333,9.23834443222246,0,0.0,0.865799990237725,2,2.0,0.33207977716400294,0,1.0,0.7913511601234767,0,2.0,0.7349682082768632,2,5.0
125.0,1,5.0,0.2777777777777778,10.687756859505832,0,0.0,0.9790924816081997,0,4.0,0.7668797643890143,1,5.0,0.6313074661015862,0,2.0,0.9541047394379688,1,11.0
130.0,0,0.0,0.0,10.020096205576293,0,0.0,0.7319112423412105,0,0.0,0.909623230390248,0,0.0,0.6204868818242507,0,2.0,0.3918149765820356,0,2.0
135.0,2,4.0,0.17391304347826086,9.166927226355668,1,3.0,0.6383316978914468,1,1.0,0.3434125592157933,0,0.0,0.9328418086937191,0,5.0,0.5798063804795807,2,9.0
140.0,4,21.0,0.875,9.583039322268968,2,11.0,0.5067573364343,2,10.0,0.596475289873797,0,0.0,0.9595021076349992,0,2.0,0.8834099702944127,4,23.0
145.0,0,0.0,0.0,9.12455631422535,0,9.0,0.40694155642117863,0,7.0,0.7206930338414047,0,0.0,0.8507602273478873,0,0.0,0.9402789682877561,0,16.0
150.0,3,10.0,0.37037037037037035,8.796700144719502,3,10.0,0.3866121951930266,0,2.0,0.6822958436583374,0,0.0,0.626150977598687,0,0.0,0.511673954058825,3,12.0
155.0,4,11.0,0.4230769230769231,6.132331457353776,2,16.0,0.06680339811139006,0,2.0,0.4783259129787338,2,7.0,0.388183745474489,0,0.0,0.1584409913437244,4,25.0
160.0,3,14.0,0.5384615384615384,8.979767707261164,2,13.0,0.36368614372179714,0,2.0,0.4054559025457915,0,7.0,0.7797415246580931,1,5.0,0.6307950072283665,3,27.0
165.0,2,4.0,0.15384615384615385,9.677544635115625,1,11.0,0.5477485781729327,1,2.0,0.44961986850021624,0,2.0,0.9085292475449854,0,4.0,0.8356188425596083,2,19.0
