step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
305.0,66,3090.0,35.93023255813954,2.7738069359582935,66,4636.0,0.07925785190231613,66,4636.0,False,,
310.0,66,3415.0,40.1764705882353,2.565301561658795,66,4961.0,0.09502635731531611,66,4961.0,False,,
315.0,65,3740.0,45.06024096385542,2.509622189082059,65,5286.0,0.11108045941908555,65,5286.0,False,,
320.0,66,4065.0,47.8235294117647,2.2712027307966856,66,5611.0,0.09539748961162378,66,5611.0,False,,
325.0,72,4397.0,50.54022988505747,1.9616500387387503,72,5943.0,0.08240887788481671,72,5943.0,False,,
330.0,67,4732.0,52.577777777777776,2.5679503651723596,67,6278.0,0.10968590906520251,67,6278.0,False,,
335.0,68,5067.0,55.68131868131868,2.6424341981015544,68,6613.0,0.10549760130136804,68,6613.0,False,,
340.0,74,5413.0,59.48351648351648,2.231851427176874,74,6959.0,0.0731768545602278,74,6959.0,False,,
345.0,73,5778.0,62.80434782608695,2.2472517765013595,73,7324.0,0.08471979282935592,73,7324.0,False,,
350.0,74,6143.0,67.50549450549451,2.1644959561114727,74,7689.0,0.09931259851947037,74,7689.0,False,,
355.0,74,6508.0,71.51648351648352,1.8529065600388446,74,8054.0,0.07724267857458883,74,8054.0,False,,
360.0,75,6880.0,74.78260869565217,2.061658579983038,75,8426.0,0.07270024715878673,75,8426.0,False,,
365.0,76,7255.0,72.55,2.443258793810668,76,8801.0,0.0933038521994962,76,8801.0,False,,
370.0,76,7630.0,77.07070707070707,2.3708974442581625,76,9176.0,0.09378944949952699,76,9176.0,False,,
375.0,81,8018.0,81.81632653061224,1.9335885242930706,81,9564.0,0.0768456018334667,81,9564.0,False,,
380.0,82,8423.0,85.08080808080808,1.7328617143728053,82,9969.0,0.0637189860674883,82,9969.0,False,,
385.0,82,8828.0,87.4059405940594,2.1720879831231215,82,10374.0,0.08363033916547384,82,10374.0,False,,
390.0,81,9233.0,91.41584158415841,2.0960069791345943,81,10779.0,0.0770872306147242,81,10779.0,False,,
395.0,84,9646.0,96.46,1.8286765749781682,84,11192.0,0.07147579397654052,84,11192.0,False,,
400.0,86,10061.0,95.81904761904762,1.8739412634577488,86,11607.0,0.08653801142336812,86,11607.0,False,,
405.0,85,10478.0,98.84905660377359,2.1247889950186885,85,12024.0,0.07602279772046602,85,12024.0,False,,
410.0,90,10914.0,102.0,1.8696849700279652,90,12460.0,0.06740272700711235,90,12460.0,False,,
415.0,92,11359.0,106.1588785046729,1.6024559904319724,92,12905.0,0.05849023222724521,92,12905.0,False,,
420.0,89,11804.0,111.35849056603773,1.8539881083627183,89,13350.0,0.07999308719685314,89,13350.0,False,,
425.0,85,11301.0,105.61682242990655,1.4573536086502719,85,13273.0,0.053977334548743476,85,13273.0,False,,
430.0,80,10176.0,98.79611650485437,1.5888928697048474,80,12739.0,0.061975686290788895,80,12739.0,False,,
435.0,70,9623.0,89.10185185185185,1.6321716905868147,70,13098.0,0.062010836097554776,70,13098.0,False,,
440.0,67,9573.0,88.63888888888889,2.0423667189507935,67,13411.0,0.08846139197092562,67,13411.0,False,,
445.0,74,9885.0,91.52777777777777,1.7041903708042827,74,13320.0,0.06263235013358853,74,13320.0,False,,
450.0,73,10196.0,97.1047619047619,1.623539118469723,73,12911.0,0.05173169997388851,73,12911.0,False,,
455.0,73,10527.0,100.25714285714285,2.6799443256737345,73,12376.0,0.09256170531332504,73,12376.0,False,,
460.0,74,10867.0,103.4952380952381,2.7310363243877496,74,12062.0,0.07985286737815835,74,12062.0,False,,
465.0,75,11241.0,112.41,3.100022879166587,75,12134.0,0.10745874613586862,75,12134.0,False,,
470.0,75,11616.0,117.33333333333333,2.0358009711742038,75,12400.0,0.046127480684222594,75,12400.0,False,,
475.0,79,12005.0,122.5,1.9837984480921569,79,12782.0,0.06730471095777896,79,12782.0,False,,
480.0,80,12402.0,133.3548387096774,1.235947230447501,80,13179.0,0.05699664492630039,80,13179.0,False,,
485.0,85,12820.0,134.94736842105263,0.9368617851268051,85,13597.0,0.03585748720504928,85,13597.0,False,,
490.0,85,13245.0,139.42105263157896,0.9260781932474722,85,14022.0,0.031041634849153076,85,14022.0,False,,
495.0,88,13678.0,142.47916666666666,0.4815261242216846,88,14455.0,0.006816231999287203,88,14455.0,False,,
