step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
410.0,62,3184.0,39.30864197530864,1.7703975415681164,13,1650.0,0.05807296021136497,14,1248.0,0.21939104831098336,17,918.0,0.03250625419262908,18,1635.0,0.12691174441335867,62,5451.0
415.0,70,3513.0,42.325301204819276,1.3515209487974087,18,1729.0,0.047410393498725785,14,1318.0,0.20753126568733066,20,1009.0,0.000342606050973725,18,1725.0,0.014076559730476867,70,5781.0
420.0,73,3873.0,46.66265060240964,1.0532430173374956,19,1821.0,0.09403645125012283,14,1388.0,0.06882877920766015,20,1109.0,1.399822737014408e-05,20,1823.0,0.07367230171731183,73,6141.0
425.0,74,4229.0,50.345238095238095,1.1588043340640553,19,1916.0,0.04690977781260973,17,1467.0,0.08664809237854004,20,1211.0,0.08781409585595701,18,1911.0,0.09376529954361512,74,6505.0
430.0,69,4462.0,53.11904761904762,1.4002158947891823,16,1776.0,0.02105277919977256,15,1544.0,0.0971819204369135,20,1311.0,0.0850418810642487,18,1995.0,0.035584851336748345,69,6626.0
435.0,63,4591.0,53.383720930232556,2.0602841952351874,12,1413.0,0.16687827280868942,14,1605.0,0.09404325055765649,19,1388.0,0.022693932036993714,18,2087.0,0.12765320495840385,63,6493.0
440.0,60,4733.0,55.68235294117647,2.2488096760567635,7,1246.0,0.1989050827414258,16,1678.0,0.05498295943729756,19,1481.0,0.0,18,2177.0,0.19197699213111213,60,6582.0
445.0,60,4915.0,58.51190476190476,2.033818777526662,5,1273.0,0.10425196597572887,18,1766.0,0.05178082039586049,19,1578.0,0.0807500775824289,18,2265.0,0.12978376266483602,60,6882.0
450.0,62,5160.0,62.16867469879518,2.101202755303272,7,1305.0,0.1161954061323026,18,1856.0,0.04866729185475102,19,1673.0,0.11261247976169492,18,2355.0,0.06749490170132666,62,7189.0
455.0,63,4853.0,59.18292682926829,1.3308357463932683,9,1348.0,0.0691969064095095,18,1946.0,0.048711748040830054,20,1771.0,0.02491798582350088,16,2229.0,0.06331484952100237,63,7294.0
460.0,66,4348.0,53.02439024390244,1.1552240947359804,13,1407.0,0.01843507740608042,19,2037.0,0.0002721928024512389,22,1880.0,7.252754416024665e-06,12,1884.0,0.11602198207058619,66,7208.0
465.0,60,4114.0,48.976190476190474,1.694337626076249,16,1482.0,0.05070092957119239,18,2126.0,0.09414310126697623,19,1972.0,0.013940413824920048,7,1717.0,0.12805445140533056,60,7297.0
470.0,61,3918.0,47.78048780487805,2.047230779585721,19,1572.0,0.04690385389040293,18,2216.0,0.09924783850140675,19,2051.0,0.0,5,1739.0,0.18458390322973856,61,7578.0
475.0,60,3891.0,48.03703703703704,1.9966537550303058,19,1667.0,0.04971320008674319,18,2306.0,0.0,16,1908.0,0.018093796661789625,7,1769.0,0.21102861430604378,60,7650.0
480.0,55,3062.0,39.256410256410255,1.7828292311324405,19,1762.0,0.04852235494402106,15,2149.0,0.018131287250223303,11,1645.0,0.08425133786080946,10,1816.0,0.15205247826683238,55,7372.0
