step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_357187_359543_stopped,GS_cluster_357187_359543_accumulated_waiting_time,GS_cluster_357187_359543_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
1185.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1190.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1195.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1200.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1205.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1210.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1215.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1220.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1225.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1230.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1235.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1240.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1245.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1250.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1255.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1260.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1265.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1270.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1275.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1280.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1285.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1290.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1295.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1300.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1305.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1310.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1315.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1320.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1325.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1330.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1335.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1340.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1345.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1350.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1355.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1360.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1365.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1370.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1375.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1380.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1385.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1390.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1395.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1400.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1405.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1410.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1415.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1420.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1425.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1430.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1435.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1440.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1445.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1450.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1455.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1460.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1465.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1470.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1475.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1480.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1485.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1490.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1495.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1500.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1505.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1510.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1515.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1520.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1525.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1530.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1535.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1540.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1545.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1550.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1555.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1560.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1565.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1570.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1575.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1580.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1585.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1590.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1595.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1600.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1605.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1610.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1615.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1620.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1625.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1630.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1635.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1640.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1645.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1650.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1655.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1660.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1665.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1670.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1675.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1680.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1685.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1690.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1695.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1700.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1705.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1710.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1715.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1720.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1725.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1730.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1735.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1740.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1745.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1750.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1755.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1760.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
