step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
610.0,2,4.0,0.0975609756097561,4.623640608299933,2,133.0,0.19891336098227502,2,133.0,False,,
615.0,7,27.0,0.6585365853658537,3.9104450041987824,7,158.0,0.1231880087351265,7,158.0,False,,
620.0,7,27.0,0.75,3.0461666029793073,7,160.0,0.11913583168159177,7,160.0,False,,
625.0,8,19.0,0.5135135135135135,4.184800086902155,8,130.0,0.15831339725765245,8,130.0,False,,
630.0,5,10.0,0.24390243902439024,4.481407398475727,5,151.0,0.20609755712809227,5,151.0,False,,
635.0,9,34.0,0.85,3.6329575183830096,9,184.0,0.18681718161249003,9,184.0,False,,
640.0,10,36.0,0.9,3.635771238223235,10,189.0,0.20671839888001084,10,189.0,False,,
645.0,10,27.0,0.6585365853658537,3.7791086060987262,10,160.0,0.1633040895903041,10,160.0,False,,
650.0,5,13.0,0.3023255813953488,4.367934245689407,5,157.0,0.16256572586997062,5,157.0,False,,
655.0,7,25.0,0.6097560975609756,4.353390496166231,7,176.0,0.13676525486340396,7,176.0,False,,
660.0,6,20.0,0.5405405405405406,4.080939303612919,6,173.0,0.15951243821023636,6,173.0,False,,
665.0,2,5.0,0.1282051282051282,4.465452192952209,2,120.0,0.2107546217053054,2,120.0,False,,
670.0,3,6.0,0.15,4.01155844304259,3,133.0,0.1901430145716216,3,133.0,False,,
675.0,9,36.0,0.9,3.1816725430270063,9,165.0,0.1329927427089429,9,165.0,False,,
680.0,9,40.0,1.0526315789473684,2.7301141324962472,9,173.0,0.12310201979533175,9,173.0,False,,
685.0,7,24.0,0.631578947368421,3.426172139951645,7,149.0,0.14604976582638193,7,149.0,False,,
690.0,7,12.0,0.3076923076923077,3.635639907236139,7,145.0,0.10916029061415627,7,145.0,False,,
695.0,7,27.0,0.6923076923076923,3.554001760887627,7,177.0,0.12648503814345863,7,177.0,False,,
700.0,7,24.0,0.631578947368421,3.8682134768264995,7,178.0,0.22183302876158142,7,178.0,False,,
705.0,3,7.0,0.175,4.6383232229820885,3,127.0,0.21591759085384987,3,127.0,False,,
710.0,5,9.0,0.225,3.7138859595423286,5,143.0,0.13662241166091738,5,143.0,False,,
715.0,9,40.0,1.0,3.573823820897259,9,180.0,0.11317430247389748,9,180.0,False,,
720.0,9,38.0,1.0,3.5097556424065997,9,186.0,0.1786648694861786,9,186.0,False,,
725.0,6,17.0,0.4473684210526316,4.776171705030529,6,147.0,0.23668385428247224,6,147.0,False,,
730.0,7,12.0,0.2857142857142857,5.444161142939489,7,145.0,0.25732723104202293,7,145.0,False,,
735.0,9,30.0,0.7317073170731707,4.617999964772917,9,187.0,0.18572126816076154,9,187.0,False,,
740.0,7,22.0,0.6111111111111112,3.0162596804223862,7,186.0,0.14098696726033796,7,186.0,False,,
745.0,7,15.0,0.375,4.21768223278376,7,152.0,0.2011706223591148,7,152.0,False,,
750.0,3,4.0,0.09302325581395349,5.20226900791639,3,134.0,0.2443939113311592,3,134.0,False,,
755.0,6,18.0,0.42857142857142855,4.552206015355194,6,149.0,0.18268194986693326,6,149.0,False,,
760.0,7,23.0,0.6216216216216216,3.5278127211102452,7,154.0,0.15026153066962705,7,154.0,False,,
765.0,5,16.0,0.4444444444444444,3.83506228937537,5,123.0,0.15174678855413276,5,123.0,False,,
770.0,3,6.0,0.15384615384615385,4.148261736078538,3,112.0,0.1349168248401002,3,112.0,False,,
775.0,7,34.0,0.8947368421052632,3.3587335086938084,7,135.0,0.12763740120437553,7,135.0,False,,
