step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
670.0,67,4364.0,51.34117647058824,0.8889188881684006,67,7226.0,0.03808966658159232,67,7226.0
675.0,64,4556.0,52.97674418604651,0.9699888200585051,64,7480.0,0.042377019282391085,64,7480.0
680.0,71,4871.0,56.63953488372093,1.2524892190202401,71,7715.0,0.02603635123859539,71,7715.0
685.0,77,5074.0,56.37777777777778,1.2534681841198017,77,7975.0,0.008489054133376346,77,7975.0
690.0,63,5170.0,59.42528735632184,1.9617029892108897,63,8119.0,0.06993169612032449,63,8119.0
695.0,55,5289.0,62.22352941176471,3.5032893919122277,55,8145.0,0.13082347145363965,55,8145.0
700.0,46,5364.0,67.05,3.381487693351855,46,8158.0,0.1082758854150578,46,8158.0
705.0,47,5504.0,71.48051948051948,3.6631271591803225,47,8240.0,0.1454189930335029,47,8240.0
710.0,49,5739.0,75.51315789473684,3.9977848426714315,49,8293.0,0.16868294144149432,49,8293.0
715.0,41,4984.0,68.27397260273973,3.1318139375485305,41,7943.0,0.14344410718813677,41,7943.0
720.0,40,3581.0,49.054794520547944,2.9385315211288665,40,7047.0,0.11603619419982866,40,7047.0
725.0,37,2378.0,30.10126582278481,2.9773183444007287,37,6914.0,0.140195864881786,37,6914.0
730.0,36,978.0,12.7012987012987,3.4646707009800943,36,7022.0,0.16498295202010044,36,7022.0
735.0,36,345.0,4.423076923076923,2.540974810230969,36,7104.0,0.11957826042939199,36,7104.0
740.0,54,564.0,6.795180722891566,1.7065804616956326,54,7229.0,0.054341467950819455,54,7229.0
745.0,59,740.0,8.604651162790697,1.6183483317200744,59,6970.0,0.04770524527563953,59,6970.0
750.0,63,893.0,10.383720930232558,1.790242093236625,63,5951.0,0.051700904250055454,63,5951.0
755.0,56,868.0,10.333333333333334,1.6088487973370798,56,6120.0,0.04643066987259931,56,6120.0
760.0,48,677.0,7.781609195402299,2.3349934085961275,48,6141.0,0.08495170444538128,48,6141.0
765.0,33,473.0,5.698795180722891,2.820506237211352,33,6286.0,0.1429266720943359,33,6286.0
770.0,37,432.0,5.204819277108434,2.571389903267862,37,6443.0,0.12140740067277837,37,6443.0
775.0,44,432.0,5.142857142857143,1.5451379847378806,44,6089.0,0.047842981327284324,44,6089.0
780.0,49,513.0,6.035294117647059,1.8497794521980275,49,4687.0,0.05416623906790467,49,4687.0
785.0,46,541.0,6.364705882352941,2.289191180251275,46,4774.0,0.08306205221533441,46,4774.0
790.0,40,496.0,5.975903614457831,2.4637363134253984,40,4736.0,0.08058717807774439,40,4736.0
795.0,35,265.0,3.1927710843373496,2.505506393306726,35,4763.0,0.10934653855674363,35,4763.0
800.0,37,292.0,3.4352941176470586,2.9351707119371007,37,4791.0,0.14316335266692543,37,4791.0
805.0,40,383.0,4.559523809523809,2.6871113670515436,40,4851.0,0.12465402282182109,40,4851.0
810.0,47,544.0,6.4,1.930613216216392,47,4849.0,0.05626397439175119,47,4849.0
815.0,49,675.0,7.848837209302325,1.981778022023635,49,4980.0,0.06689666718547256,49,4980.0
820.0,52,916.0,10.904761904761905,1.982656739904969,52,5203.0,0.06591260421879709,52,5203.0
